brand,product,name,specific,hex,r,g,b,lightness,undertone,categories,source_dataset,source_file
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,shell,1W1,#EFCBA4,239,203,164,0.790196,cool,gem,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,linen,1N1,#F3CEB0,243,206,176,0.821569,neutral,textile,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,alabaster,1C1,#F2CBB4,242,203,180,0.827451,cool,gem,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,porcelain,1N2,#F6C8A7,246,200,167,0.809804,cool,misc,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,ivory,1C2,#F0C4AB,240,196,171,0.805882,cool,gem;color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sand,1W2,#F2C79D,242,199,157,0.782353,cool,rock,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashmere,1N3,#DFB38A,223,179,138,0.707843,neutral,textile,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,vanilla,2W1,#EEC29C,238,194,156,0.772549,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,bisque,2C1,#EAB498,234,180,152,0.756863,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashew,2N1,#DDAD8C,221,173,140,0.707843,neutral,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,teak,2C2,#E5AE8F,229,174,143,0.729412,cool,wood,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,desert,2N2,#E0AE8C,224,174,140,0.713725,neutral,rock,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buff,2W2,#E1B186,225,177,134,0.703922,cool,color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buttercup,3W1,#E2AD7F,226,173,127,0.692157,cool,plant,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,camel,3N1,#D59C79,213,156,121,0.654902,neutral,color;animal,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,noisette,3N2,#D49971,212,153,113,0.637255,neutral,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,pebble,3C1,#D8A284,216,162,132,0.682353,cool,rock,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,driftwood,3W2,#DBA679,219,166,121,0.666667,cool,wood,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cassava,3C2,#D29B7B,210,155,123,0.652941,cool,plant,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,khaki,3N3,#CE9770,206,151,112,0.623529,neutral,textile,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,olive,3W3,#CC9A70,204,154,112,0.619608,cool,color;food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,hazel,4W1,#C38353,195,131,83,0.545098,cool,plant;color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,fawn,4C1,#AD6D4B,173,109,75,0.486275,cool,color;animal,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,bamboo,4W2,#AA6D46,170,109,70,0.470588,cool,wood,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,tan,4N1,#AA7555,170,117,85,0.5,warm,skin;color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,café,4N2,#A56949,165,105,73,0.466667,neutral,drink,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sepia,4C2,#A36446,163,100,70,0.456863,cool,color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,amber,5W1,#A0633F,160,99,63,0.437255,warm,gem;color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,maple,5W2,#965837,150,88,55,0.401961,cool,wood,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,terracotta,5N1,#865034,134,80,52,0.364706,neutral,color,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cardamom,5W3,#79442C,121,68,44,0.323529,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,coconut,5W4,#754127,117,65,39,0.305882,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,walnut,5C1,#6C3923,108,57,35,0.280392,cool,wood,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,mocha,5N2,#74462C,116,70,44,0.313725,neutral,drink,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,clove,6W1,#7B472E,123,71,46,0.331373,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,truffle,6W2,#713E2A,113,62,42,0.303922,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sienna,6N2,#663727,102,55,39,0.276471,neutral,rock,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,espresso,6N1,#643927,100,57,39,0.272549,neutral,drink,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,mahogany,6C1,#5B332A,91,51,42,0.260784,cool,wood,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,tonka,6W3,#5B3429,91,52,41,0.258824,cool,location,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cacao,6C2,#4F322C,79,50,44,0.241176,cool,food,Cosmetic Foundation Shades,allCategories.csv
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,chestnut,6C3,#472D29,71,45,41,0.219608,cool,food,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,fair cool,Shade 1,#EACFB7,234,207,183,0.817647,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,light warm,Shade 2,#F7D3B3,247,211,179,0.835294,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,light neutral warm,Shade 3,#E9C7A4,233,199,164,0.778431,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,medium neutral,Shade 4,#D0B099,208,176,153,0.707843,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,shade   medium neutral warm,5,#DCB590,220,181,144,0.713725,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,medium warm,Shade 6,#D5A575,213,165,117,0.647059,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,medium-tan neutral,Shade 7,#C88C3F,200,140,63,0.515686,warm,descriptor;skin;color,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,tan warm,Shade 8,#AB6939,171,105,57,0.447059,warm,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,deep neutral,Shade 9,#8D5D35,141,93,53,0.380392,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,deep warm,Shade 10,#914D26,145,77,38,0.358824,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,dark neutral,Shade 11,#6E452B,110,69,43,0.3,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Flawless Brightening Foundation SPF 15,dark warm,Shade 12,#83503F,131,80,63,0.380392,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,fair cool,Shade 1,#E3CFB7,227,207,183,0.803922,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,light neutral,Shade 2,#EDD2B5,237,210,181,0.819608,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,light neutral warm,Shade 3,#DFC7A5,223,199,165,0.760784,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,medium neutral,Shade 4,#C7AE98,199,174,152,0.688235,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,shade   medium neutral warm,5,#DAB48A,218,180,138,0.698039,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,medium warm,Shade 6,#D0A270,208,162,112,0.627451,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,medium-tan neutral,Shade 7,#C39E68,195,158,104,0.586275,warm,descriptor;skin;color,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,tan warm,Shade 8,#B48E69,180,142,105,0.558824,warm,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,deep neutral,Shade 9,#B78145,183,129,69,0.494118,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,deep warm,Shade 10,#946542,148,101,66,0.419608,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,dark neutral,Shade 11,#926738,146,103,56,0.396078,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
Benefit Cosmetics,Hello Happy Velvet Powder Foundation,dark warm,Shade 12,#7F5739,127,87,57,0.360784,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,fair,NA,#F9EFE3,249,239,227,0.933333,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,fair light,NA,#FCEBDB,252,235,219,0.923529,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,light,NA,#FBE6D1,251,230,209,0.901961,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,light medium,NA,#F6CEAB,246,206,171,0.817647,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,medium,NA,#EEC7A0,238,199,160,0.780392,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,neutral medium,NA,#F1C09B,241,192,155,0.776471,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,medium tan,NA,#E0AE86,224,174,134,0.701961,warm,descriptor;skin;color,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,neutral tan,NA,#E6A77C,230,167,124,0.694118,warm,descriptor;skin;color,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,tan,NA,#E1965E,225,150,94,0.62549,warm,skin;color,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,rich,NA,#C6713E,198,113,62,0.509804,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,rich honey,NA,#9E502B,158,80,43,0.394118,warm,descriptor;food,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,CC+ Cream with SPF 50+,deep,NA,#85412F,133,65,47,0.352941,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,medium neutral,33,#D9A681,217,166,129,0.678431,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,fair warm,10,#FAE6D2,250,230,210,0.901961,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,fair neutral,10.5,#E8CCB5,232,204,181,0.809804,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,fair neutral,11,#ECC8A8,236,200,168,0.792157,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,fair warm,12,#F0CBA7,240,203,167,0.798039,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,light cool,20,#F4CBA8,244,203,168,0.807843,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,light neutral,20.5,#EAC1A9,234,193,169,0.790196,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,light warm,21,#EDC6A1,237,198,161,0.780392,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,light neutral,21.5,#E0B78F,224,183,143,0.719608,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,light neutral,22,#DEB391,222,179,145,0.719608,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,light warm,22.5,#F3CFAB,243,207,171,0.811765,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,light warm,23,#ECC097,236,192,151,0.758824,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,medium cool,30,#DDB290,221,178,144,0.715686,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,medium neutral,31,#D6A982,214,169,130,0.67451,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,medium neutral,31.5,#CCA17B,204,161,123,0.641176,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,medium warm,32,#D7A06F,215,160,111,0.639216,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,medium cool,34,#D79F7A,215,159,122,0.660784,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,medium warm,35,#C99567,201,149,103,0.596078,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,medium cool,36,#D3A187,211,161,135,0.678431,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,tan neutral,39,#C1936F,193,147,111,0.596078,warm,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,tan cool,40,#CD996C,205,153,108,0.613725,cool,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,tan warm,41,#D09868,208,152,104,0.611765,warm,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,tan neutral,42,#D3965D,211,150,93,0.596078,warm,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,tan warm,42.5,#B6855A,182,133,90,0.533333,warm,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,tan warm,43,#B47E50,180,126,80,0.509804,warm,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,tan warm,44,#B87241,184,114,65,0.488235,warm,skin;color;descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,rich cool,50,#AA7451,170,116,81,0.492157,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,rich warm,51,#9E6338,158,99,56,0.419608,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,rich neutral,51.25,#9E6E4D,158,110,77,0.460784,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,rich warm,51.5,#996239,153,98,57,0.411765,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,rich cool,51.75,#9A6542,154,101,66,0.431373,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,rich warm,52,#8E512B,142,81,43,0.362745,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,rich neutral,53,#945E40,148,94,64,0.415686,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,deep neutral,58,#7C4E3A,124,78,58,0.356863,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,deep cool,59,#895337,137,83,55,0.376471,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,deep warm,60,#73492A,115,73,42,0.307843,warm,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,deep neutral,61,#6A3C22,106,60,34,0.27451,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,deep cool,62,#603725,96,55,37,0.260784,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,deep cool,63,#673F39,103,63,57,0.313725,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
It Cosmetics,Your Skin But Better Foundation + Skincare,deep cool,64,#644846,100,72,70,0.333333,cool,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,54,#D19264,209,146,100,0.605882,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,40,#F9D3B9,249,211,185,0.85098,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,41,#F1CCB6,241,204,182,0.829412,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,42,#FBCCB2,251,204,178,0.841176,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,42,#F8CEA3,248,206,163,0.805882,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,43,#F9C496,249,196,150,0.782353,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,44,#F1C4AD,241,196,173,0.811765,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,45,#F1BF91,241,191,145,0.756863,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,45,#F2BA91,242,186,145,0.758824,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,46,#E5B49F,229,180,159,0.760784,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,47,#E1AD85,225,173,133,0.701961,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,48,#DBA37E,219,163,126,0.676471,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,light,49,#E5A57C,229,165,124,0.692157,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,51,#D7A777,215,167,119,0.654902,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,52,#E4B59F,228,181,159,0.758824,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,52,#E5A37B,229,163,123,0.690196,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,52.5,#CFA575,207,165,117,0.635294,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,53,#D29761,210,151,97,0.601961,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,53,#D79662,215,150,98,0.613725,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,54,#D0936A,208,147,106,0.615686,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,55,#D2935F,210,147,95,0.598039,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,56,#D28B64,210,139,100,0.607843,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,57,#CE8E57,206,142,87,0.57451,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,58,#D28B64,210,139,100,0.607843,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,59,#C98960,201,137,96,0.582353,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,62,#CB8758,203,135,88,0.570588,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,64,#C7855F,199,133,95,0.576471,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,65,#C38558,195,133,88,0.554902,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,medium,65,#C97F50,201,127,80,0.55098,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,66,#AA653E,170,101,62,0.454902,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,67,#9C552F,156,85,47,0.398039,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,71,#A76038,167,96,56,0.437255,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,74,#93573A,147,87,58,0.401961,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,76,#8E5433,142,84,51,0.378431,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,77,#885233,136,82,51,0.366667,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,78,#724026,114,64,38,0.298039,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,79,#6D3D26,109,61,38,0.288235,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,79,#6B3D25,107,61,37,0.282353,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,80,#5A392B,90,57,43,0.260784,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,81,#563629,86,54,41,0.24902,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,83,#513029,81,48,41,0.239216,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,85,#462D26,70,45,38,0.211765,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Foundation,deep,87,#412A28,65,42,40,0.205882,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,medium,150,#D19A71,209,154,113,0.631373,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,fair,105,#DAC8C0,218,200,192,0.803922,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,fair,110,#D9C2BB,217,194,187,0.792157,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,fair,115,#DAC5BA,218,197,186,0.792157,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,fair,120,#DEAE95,222,174,149,0.727451,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,light,125,#D6A891,214,168,145,0.703922,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,light,130,#DFAC89,223,172,137,0.705882,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,light,135,#D8A584,216,165,132,0.682353,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
KVD Vegan Beauty,Lock-It Powder Foundation,medium,140,#D9A57F,217,165,127,0.67451,neutral,descriptor,Cosmetic Foundation Shades,allCategories.csv
